spam
 Id,Title,Communication Status,Communication Type,Reviewers,Days Waiting,Journal Name,Classification,Publication Contact,Fiscal Year,Calendar Year,Volume,Issue,Page Start,Page End,Abstract,DOI,Edition,Report Number,OSTI Date,Create Date,View Status,Charge Number,Create Calendar Year,Create Fiscal Year,Publication Month,Publication Year,Conference,Begin Date,End Date,City,State,Country,Book Title,University,ISBN,Total Pages,Organization Code,Organization Description,Contributor Type,OSTIID,User Facility,Research Center,B&R Code,FWP,IAN,Program,Comm Sub Type,Status Date,Publish Fiscal Year,Secondary ID Number,CRADA Indicator,Already Published Ind,Re Review Ind,Authors,Preview Link
127082,Novel excitations near quantum criticality in geometrically frustrated antiferromagnet CsFeCl3,Completed,Journal,,,Science Advances,"Unclassified, Non Sensitive",Tao Hong,2020,2019,5,10,eaaw5639,,"The investigation of materials that exhibit quantum phase transition provides valuable insights into fundamental problems in physics. We present neutron scattering under pressure in a triangular-lattice antiferromagnet that has a quantum disorder in the low-pressure phase and a noncollinear structure in the high-pressure phase. The neutron spectrum continuously evolves through critical pressure; a single mode in the disordered state becomes soft with the pressure and it splits into gapless and gapped modes in the ordered phase. Extended spin-wave theory reveals that the longitudinal and transverse fluctuations of spins are hybridized in the modes because of noncollinearity, and previously unidentified magnetic excitations are formed. We report a new hybridization of the phase and amplitude fluctuations of the order parameter near a quantum critical point in a spontaneously symmetry-broken state.",10.1126/sciadv.aaw5639,,,26-Oct-19,10-Jun-19,Full,NX336211,2019,2019,10,2019,,,,,,,,,,6,50444130,Neutron Scattering Division,,1571849,High Flux Isotope Reactor,Not applicable,KC0402010,ERKCSNX,,Basic Energy Sciences (BES) - Scientific User Facilities (SNS & HFIR),,23-Oct-19,2020,,FALSE,FALSE,FALSE,"Shohei Hayashida, Masashige Matsumoto, Masato Hagihala, Hidekazu Tanaka, Nobuyuki Kurita, Shinichi Itoh, Tao Hong, Minoru Soda, Yoshiya Uwatoko, Takatsugu Masuda",Link to: Pub Id 127082
125978,Quantum chemistry as a benchmark for near-term quantum computers,Completed,Journal,,,npj Quantum Information,"Unclassified, Non Sensitive",Raphael Pooser,2020,2019,5,1,99,,"We present a quantum chemistry benchmark for noisy intermediate-scale quantum computers that leverages the variational quantum eigensolver, active-space reduction, a reduced unitary coupled cluster ansatz, and reduced density purification as error mitigation. We demonstrate this benchmark using 4 of the available qubits on the 20-qubit IBM Tokyo and 16-qubit Rigetti Aspen processors via the simulation of alkali metal hydrides (NaH, KH, RbH), with accuracy of the computed ground state energy serving as the primary benchmark metric. We further parameterize this benchmark suite on the trial circuit type, the level of symmetry reduction, and error mitigation strategies. Our results demonstrate the characteristically high noise level present in near-term superconducting hardware, but provide a relevant baseline for future improvement of the underlying hardware, and a means for comparison across near-term hardware types. We also demonstrate how to reduce the noise in post processing with specific error mitigation techniques. Particularly, the adaptation of McWeeny purification of noisy density matrices dramatically improves accuracy of quantum computations, which, along with adjustable active space, significantly extends the range of accessible molecular systems. We demonstrate that for specific benchmark settings and a selected range of problems, the accuracy metric can reach chemical accuracy when computing over the cloud on certain quantum computers.",10.1038/s41534-019-0209-0,,,,8-May-19,Full,3395TB00,2019,2019,11,2019,,,,,,,,,,8,50159093,Computational Sciences & Engineering Div,,,Not applicable,Not applicable,KJ0503000,ERKJ332,,Advanced Scientific Computing Research (ASCR),,1-Sep-20,2020,,FALSE,FALSE,FALSE,"Alex Mccaskey, Zachary Parks, Jacek Jakowski, Shirley Moore, Titus Morris, Travis Humble, Raphael Pooser",Link to: Pub Id 125978
125747,Establishing the quantum supremacy frontier with a 281 Pflop/s simulation,Completed,Journal,,,Quantum Science and Technology,"Unclassified, Non Sensitive",Dmitry Liakh,2020,2020,5,3,34003,,"Noisy intermediate-scale quantum (NISQ) computers are entering an era in which they can perform computational tasks beyond the capabilities of the most powerful classical computers, thereby achieving 'quantum supremacy', a major milestone in quantum computing. NISQ supremacy requires comparison with a state-of-the-art classical simulator. We report HPC simulations of hard random quantum circuits (RQC), which have been recently used as a benchmark for the first experimental demonstration of quantum supremacy, sustaining an average performance of 281 Pflop/s (true single precision) on Summit, currently the fastest supercomputer in the world. These simulations were carried out using qFlex, a tensor-network-based classical high-performance simulator of RQCs. Our results show an advantage of many orders of magnitude in energy consumption of NISQ devices over classical supercomputers. In addition, we propose a standard benchmark for NISQ computers based on qFlex.",10.1088/2058-9565/ab7eeb,,,22-Aug-20,1-May-19,Full,3OP3SCMP,2019,2019,4,2020,,,,,,,,,,18,50159092,National Center for Computational Scienc,,1649588,Oak Ridge Leadership Computing Facility,Not applicable,KJ0502000,ERKJZN1,,Not Applicable,,31-Jul-20,2020,,FALSE,FALSE,FALSE,"Benjamin Villalonga Correa, Dmitry Liakh, Sergio Boixo, Hartmut Neven, Travis Humble, Rupak Biswas, Eleanor Rieffel, Alan Ho, Salvatore Mandra",Link to: Pub Id 125747
125721,Signatures for spinons in the quantum spin liquid candidate Ca10Cr7O28,Completed,Journal,,,Physical Review B,"Unclassified, Non Sensitive",Christian Balz,2020,2019,100,17,174428,,"We present new experimental low-temperature heat capacity and detailed dynamical spin-structure factor data for the quantum spin-liquid candidate material Ca10Cr7O28. The measured heat capacity shows an almost-perfect linear temperature dependence in the range 0.1K≲T≲0.5K, reminiscent of fermionic spinon degrees of freedom. The spin-structure factor exhibits two energy regimes of strong signal which display rather different but solely diffuse scattering features. We theoretically describe these findings by an effective spinon-hopping model which crucially relies on the existence of strong ferromagnetically coupled triangles in the system. Our spinon theory is shown to naturally reproduce the overall weight distribution of the measured spin-structure factor. Particularly, we argue that various different observed characteristic properties of the spin-structure factor and the heat capacity consistently indicate the existence of a spinon Fermi surface. A closer analysis of the heat capacity at the lowest accessible temperatures hints toward the presence of weak f-wave spinon-pairing terms inducing a small partial gap along the Fermi surface (except for discrete nodal Dirac points) and suggesting an overall Z2 quantum spin-liquid scenario for Ca10Cr7O28.",10.1103/PhysRevB.100.174428,,,28-Mar-20,1-May-19,Full,NNSD4003,2019,2019,11,2019,,,,,,,,,,15,50444130,Neutron Scattering Division,,1607143,Not applicable,Not applicable,KC0402010,ERKCSNX,,Not Applicable,,26-Nov-19,2020,,FALSE,FALSE,FALSE,"Jonas Sonnenschein, Christian Balz, Ulrich Tutsch, J Reuther",Link to: Pub Id 125721
124714,DCA++: A software framework to solve correlated electron problems with modern quantum cluster methods,Completed,Journal,,,Computer Physics Communications,"Unclassified, Non Sensitive",Thomas Maier,2020,2020,246,NA,106709-1,106709-19,"We present the first open release of the DCA++ project, a high-performance research software framework to solve quantum many-body problems with cutting edge quantum cluster algorithms. DCA++ implements the dynamical cluster approximation (DCA) and its DCA extension with a continuous self-energy. The algorithms capture nonlocal correlations in strongly correlated electron systems, thereby giving insight into high- superconductivity. The code’s scalability allows efficient usage of systems at all scales, from workstations to leadership computers. With regard to the increasing heterogeneity of modern computing machines, DCA++ provides portable performance on conventional and emerging new architectures, such as hybrid CPU–GPU, sustaining multiple petaflops on ORNL’s Titan and CSCS’ Piz Daint supercomputers. Moreover, we show how sustainable and scalable development of the code base has been achieved by adopting standard techniques of the software industry. These include employing a distributed version control system, applying test-driven development and following continuous integration.",10.1016/j.cpc.2019.01.006,,,29-Aug-20,1-Apr-19,Full,"3NMSD200, 3395CF01, 3395CF02, 3NMSD201",2019,2019,1,2020,,,,,,,,,,19,50008679,Computational Chemical & Matls Sciences,,1651409,Oak Ridge Leadership Computing Facility,Not applicable,"KC0202031, KJ0403010, KJ0403010, KC0202031","ERKCZ45, ERKJ329, ERKJ329, ERKCZ45",,Basic Energy Sciences (BES),,25-Aug-20,2020,,FALSE,TRUE,FALSE,"Urs Hähner, Gonzalo Alvarez, Thomas Maier, Raffaele Solca, Peter Staar, Michael Summers, Thomas Schulthess",Link to: Pub Id 124714
122157,Quantum material topology via defect engineering,Completed,Journal,,,Physical Review B,"Unclassified, Non Sensitive",Panchapakesan Ganesh,2020,2019,100,24,241110(R),,"Current approaches of discovering new topological quantum materials, such as (magnetic) Weyl materials, by screening material databases or by rational design suffer from experimental challenges in growing the material in the desired geometry, hampering their potential applications. We take an approach of defect-engineering a topology starting from systems with experimentally well-controlled growth. Using SnTe, an experimentally viable topological crystalline insulator, as our model system, we elucidate the different effects of breaking time-reversal, inversion, and mirror symmetries using magnetic dopant defects, to controllably induce a topological phase transition. To this effect, we compute the thermodynamics, magnetism, and band-structure topology of magnetically doped SnTe using a full ab initio approach. In this process, we have discovered that Cr-doped SnTe is a Weyl semimetal. We have computed its classic Fermi-arc experimental signature on the (001) surface and also showed that it has a large anamolous Hall conductivity (AHC) of ∼250 Ω−1cm−1. We predict a large Curie temperature (Tc) of 62 K even at 3.3% doping, with both Tc and AHC being tunable with Cr concentration, suggesting potential for room-temperature applications. Our study in general paves the way for defect-designing room-temperature topological quantum phases.",10.1103/PhysRevB.100.241110,,,30-May-20,16-Jan-19,Full,3L118150,2019,2019,12,2019,,,,,,,,,,6,50232375,Center for Nanophase Matls Sciences,,1631260,"Center for Nanophase Materials Sciences, Oak Ridge Leadership Computing Facility",Not applicable,,,,Not Applicable,,27-May-20,2020,,FALSE,FALSE,FALSE,"Anh Pham, Panchapakesan Ganesh",Link to: Pub Id 122157
125721,Signatures for spinons in the quantum spin liquid candidate Ca10Cr7O28,Completed,Journal,,,Physical Review B,"Unclassified, Non Sensitive",Christian Balz,2020,2019,100,17,174428,,"We present new experimental low-temperature heat capacity and detailed dynamical spin-structure factor data for the quantum spin-liquid candidate material Ca10Cr7O28. The measured heat capacity shows an almost-perfect linear temperature dependence in the range 0.1K≲T≲0.5K, reminiscent of fermionic spinon degrees of freedom. The spin-structure factor exhibits two energy regimes of strong signal which display rather different but solely diffuse scattering features. We theoretically describe these findings by an effective spinon-hopping model which crucially relies on the existence of strong ferromagnetically coupled triangles in the system. Our spinon theory is shown to naturally reproduce the overall weight distribution of the measured spin-structure factor. Particularly, we argue that various different observed characteristic properties of the spin-structure factor and the heat capacity consistently indicate the existence of a spinon Fermi surface. A closer analysis of the heat capacity at the lowest accessible temperatures hints toward the presence of weak f-wave spinon-pairing terms inducing a small partial gap along the Fermi surface (except for discrete nodal Dirac points) and suggesting an overall Z2 quantum spin-liquid scenario for Ca10Cr7O28.",10.1103/PhysRevB.100.174428,,,28-Mar-20,1-May-19,Full,NNSD4003,2019,2019,11,2019,,,,,,,,,,15,50444130,Neutron Scattering Division,,1607143,Not applicable,Not applicable,KC0402010,ERKCSNX,,Not Applicable,,26-Nov-19,2020,,FALSE,FALSE,FALSE,"Jonas Sonnenschein, Christian Balz, Ulrich Tutsch, J Reuther",Link to: Pub Id 125721
124714,DCA++: A software framework to solve correlated electron problems with modern quantum cluster methods,Completed,Journal,,,Computer Physics Communications,"Unclassified, Non Sensitive",Thomas Maier,2020,2020,246,NA,106709-1,106709-19,"We present the first open release of the DCA++ project, a high-performance research software framework to solve quantum many-body problems with cutting edge quantum cluster algorithms. DCA++ implements the dynamical cluster approximation (DCA) and its DCA extension with a continuous self-energy. The algorithms capture nonlocal correlations in strongly correlated electron systems, thereby giving insight into high- superconductivity. The code’s scalability allows efficient usage of systems at all scales, from workstations to leadership computers. With regard to the increasing heterogeneity of modern computing machines, DCA++ provides portable performance on conventional and emerging new architectures, such as hybrid CPU–GPU, sustaining multiple petaflops on ORNL’s Titan and CSCS’ Piz Daint supercomputers. Moreover, we show how sustainable and scalable development of the code base has been achieved by adopting standard techniques of the software industry. These include employing a distributed version control system, applying test-driven development and following continuous integration.",10.1016/j.cpc.2019.01.006,,,29-Aug-20,1-Apr-19,Full,"3NMSD200, 3395CF01, 3395CF02, 3NMSD201",2019,2019,1,2020,,,,,,,,,,19,50008679,Computational Chemical & Matls Sciences,,1651409,Oak Ridge Leadership Computing Facility,Not applicable,"KC0202031, KJ0403010, KJ0403010, KC0202031","ERKCZ45, ERKJ329, ERKJ329, ERKCZ45",,Basic Energy Sciences (BES),,25-Aug-20,2020,,FALSE,TRUE,FALSE,"Urs Hähner, Gonzalo Alvarez, Thomas Maier, Raffaele Solca, Peter Staar, Michael Summers, Thomas Schulthess",Link to: Pub Id 124714
122157,Quantum material topology via defect engineering,Completed,Journal,,,Physical Review B,"Unclassified, Non Sensitive",Panchapakesan Ganesh,2020,2019,100,24,241110(R),,"Current approaches of discovering new topological quantum materials, such as (magnetic) Weyl materials, by screening material databases or by rational design suffer from experimental challenges in growing the material in the desired geometry, hampering their potential applications. We take an approach of defect-engineering a topology starting from systems with experimentally well-controlled growth. Using SnTe, an experimentally viable topological crystalline insulator, as our model system, we elucidate the different effects of breaking time-reversal, inversion, and mirror symmetries using magnetic dopant defects, to controllably induce a topological phase transition. To this effect, we compute the thermodynamics, magnetism, and band-structure topology of magnetically doped SnTe using a full ab initio approach. In this process, we have discovered that Cr-doped SnTe is a Weyl semimetal. We have computed its classic Fermi-arc experimental signature on the (001) surface and also showed that it has a large anamolous Hall conductivity (AHC) of ∼250 Ω−1cm−1. We predict a large Curie temperature (Tc) of 62 K even at 3.3% doping, with both Tc and AHC being tunable with Cr concentration, suggesting potential for room-temperature applications. Our study in general paves the way for defect-designing room-temperature topological quantum phases.",10.1103/PhysRevB.100.241110,,,30-May-20,16-Jan-19,Full,3L118150,2019,2019,12,2019,,,,,,,,,,6,50232375,Center for Nanophase Matls Sciences,,1631260,"Center for Nanophase Materials Sciences, Oak Ridge Leadership Computing Facility",Not applicable,,,,Not Applicable,,27-May-20,2020,,FALSE,FALSE,FALSE,"Anh Pham, Panchapakesan Ganesh",Link to: Pub Id 122157
s,p,a,m
s,p,a,m
s,p,a,m
s,p,a,m
spam
